text,label_id
pesquisa aponta sessenta nove porcento cidadaos brasileiros plenamente favor governo fernando haddad pt,2
lula realiza votacao primeiro turno jair bolsonaro tambem,1
haddad diz kit gay invencao praticas escolas declarcao jair bolsonaro,1
estudos mostram quarenta porcento estudantes ensino superior sao analfabetos funcionais em governo bolsonaro,1
fernando haddad falou favor soltar criminosos cadeia jair bolsonaro contra,1
governo chega quatro trilhoes divida interna durante mandato bolsonaro,2
haddad faz declarcao lula dizendo ser verdadeiro presidente caso vitoria eleicoes,1
vice haddad manoela davila garante apoio lgbt nacao brasileira caso pt volte comandar pais,1
nordeste nunca recebeu votacao tao expressiva contra pt ultimas eleicoes,1
maioridade penal preve povo declara desejo reducao,2
setecentos setenta sete eleitores escolhe candidato conseguindo nove mil novecentos nove votos nas eleicoes,1
midia brasileira destaca fake news descreditar candidatura bolsonaro candidato presidencial,1
haddad declara eleicao ter acabado pede dignidade entre eleitores,1
programa autocompletar voto urna eletronica faz fernando haddad ter cautela declaracao sobre eleicoes,1
camiseta amarela identifica campanha bolsonariano colocando numero dezessete voto,1
epoca protesta contra padres casados exigem divorcio relacionamentos compromisso gays perante igreja,1
jean wyllys ministro educacao sera declarado durante governo fernando haddad pt,1
palhaco circo cita biblia contra jean wyllys,1
universitarios fazem manifestacao contra candidato bolsonaro psl durante semana,1
ciro gomes faz declaracao sobre igreja catolica relatando inimigo protestantes,1
van apreendida pela pf tinha cento cinquenta dois urnas eletronicas apuradas vencendo haddad,1
artistas criam movimento hashtag elenao referenciando lei rouanet repercutindo nacionalmente,1
dois mil dez plano governo criou movimento combater homofobia escolas ensino fundamental partir seis anos idade impedindo assistirem filmes meninos beijando meninas,1
processo conduzido delegado condena dois anos homem confianca fernando pimentel,1
regime maduro defendido declaracao feita representante pt declaracao realizada repercutiu outros partidos,2
jose dirceu declarou entrevista radio tirar poderes supremo tribunal federal caso necessario,2
cristianismo tende diminuir caso populares declarem jesus unico deus momento,1
geraldo alckmin relata sao paulo tera superavit cinco bilhoes seu mandato,2
divida cofres publicos caiu metade periodo mandato fernando haddad pt,1
alvaro dias partido podemos debate destacou nao receber auxilio moradia verba indenizatoria ,2
bolsas concedidas prouni durante governo fernando haddad pt chegam dois milhoes ,2
guilherme boulos psol diz liberar dinheiro fies universidade publica,1
entrevista alvaro dias destaca linha pobreza chegando mais cinquenta dois milhoes brasileiros ultimos dez anos,2
bolsonaro criticado receber auxilio moradia mesmo tendo casa destca guilherme boulos,2
presidenta dilma massacrada henrique meirelles mdb ter prometido entregar governo seis mil creches quando entregou apenas oitenta,1
guilherme boulos psol nao paga ipva carro notificado orgao responsavel,2
acoes taurus aumentaram cento oitenta porcento ultimos sessenta dias chegando marca surpreendente,2
bolsonaro diz vai acabar décimo terceiro ferias ciro gomes nao aprova postura,2
icms farinha trigo pao macarrao sera zerado diz geraldo alckmin video,2
saiu pesquisa mostrando oitenta seis porcento aprovacao fernando haddad pt eleicoes,2
brasil tem setecentos sessenta mil pessoas presas financeiramente diz ciro gomes nome sujo,2
setenta porcento presos sao jovens uso drogas,1
mulher gravida trabalha casa obriga reforma trabalhista proposta governo marina,2
pessoa pobre obrigada pagar pericia caso esta justica,2
governo fhc carga tributaria era vinte seis porcento durante  fernando haddad pt trinta dois porcento,2
reduzimos imposto etanol vinte cinco porcento pais,2
governo federal ha dezesseis anos sem geraldo alckmin psdb candidato,1
mais trinta dois milhoes pessoas tem renda gerada atraves bico relata ciro gomes,2
acumulados quase quatrocentos bilhoes dolares reservas cambiais governo pt,2
ministro educacao destaca triplicado numero universitarios brasil nos ultimos dez anos,1
comercio fecharam portas brasil chegam duzentos vinte mil pontos,2
fernando haddad disse vai chamar constituinte bases,2
educacao saude tem crescimento acima inflacao,2
boulos dizer querer fazer reparo respeitoso educacao saude,2
mais catorze milhoes familias dependem programa bolsa familia brasil,2
brasil quer mellhorar comunicacao satelite,1
nomeado bolsonaro assume congresso nacional participacao processo plebiscito nacional,2
mais cinquenta dois milhoes pessoas estao linha pobreza aponta pesquisa,2
evento seis setembro incriminou agente camara atraves carteira identidade,1
sistema voto eletronico eleitoral nao existe outro lugar,1
dilma obteve dois mil catorze mais cem mil votos eletronico chegando poder,1
portesto favor mulher ganhar menos homem,1
apos estatuto desarmamento aumentou criminalidade,1
exmulher desmente materia veja,1
ideb sao paulo cresce primeiro ciclo ensino medio durante governo geraldo alckmin psdb,2
ciro gomes cita estado menor mortalidade infantil brasil,1
dono jatinho helicoptero nao paga imposto ipva,2
mandato fernando haddad pt geraram doze anos mais vinte milhoes empregos,2
marina apoiou movimento impeachment contra temer,2
brasil tem mais quatrocentos milhoes extrema pobreza aponta pesquisa,1
aqueles aposentam sessenta cinco anos idade ganham menos relata henrique meirelles,2
brasil tem hoje maior indice desemprego sobre mulheres,2
pesquisas mostram ciro gomes ganhando bolsonaro segundo turno,2
ministro educacao diz ter levado banda larga todas escolas urbanas,1
alvaro dias podemos expulso psdb por ter apoiado cpi investigar corrupcao,2
fhc aumentou trinta dois porcento pib carga tributaria durante governo relacao fernando haddad,2
pt nao aumentou pib carga tributaria fernando haddad sao paulo,2
populacao jovens chega terco desempregados apos governo pt,2
fechamento escolas aumentaram governo psdb todo pais,1
geraldo alckmin apresentou propostas combater criminalidade pais plano governo,1
bolsonaro mesmo trinta anos congresso nunca presidiu comissao camara deputados,2
ciro gomes pdt tem ficha limpa declarada eleicoes,2
ciro gomes destaca governo ceara tem ensino medio escola publica integral fazendo tres refeicoes estagio empresa,2
prouni beneficiou mais dois milhoes estudantes baixa renda governo pt,2
mais vinte milhoes emprego foram criados governo fernando haddad,1
henrique meireles diz governo mdb criou mais dez milhoes empregos,2
alvaro dias podemos governador parana noventa porcento aprovacao dois mil dez,2
reducao desmatamento chegou mais oitenta porcento mesmo periodo ano passado,1
idade minima hoje aposentadoria sessenta cinco anos homens sessenta mulheres,2
atualmente cinco bancos dois publicos concentram oitenta porcento credito nacional,2
bolsonaro surtando apos divulgacao pesquisa ibope,1
deputados irao votar pedido lulaladrao dilma defende,1
programa divida zero anunciado apos ciro mencionar programa nome limpo,1
arquivado processo jose serra caixa dois,1
dois bancos publicos concentram oitenta porcento credtio,2
brasil atraiu maior investimento estrangeiro durante governos pt,2
henrique meirelles mdb nunca teve envolvimento corrupcao nao tem nenhum processo,2
brasil registra sessenta três mil assassinatos ano,2
nove milhoes pessoas estao linha pobreza aponta pesquisa ibope,2
marina silva questiona salarios menores mulheres lutara mudar situacao,2
marina destaca alto numero pessoas morrem causa hepatite c,1
assumi pib queda cinco porcento diz henrique meirelles debate,2
governo fernando haddad pt gerou dois milhoes empregos carteira assinada,2
estupros pais chegam mais sessenta mil,2
prouni criou mais dois milhoes bolsas jovens baixa renda durante governo pt dois mil oito,2
geraldo alckmin psdb votou contra impeachment presidente fhc,1
ciro gomes pdt defende imposto deve pago proporcionalmente renda cada cidadao,2
governos passados tiveram sessenta dois milhoes cidadaos linha pobreza debate alvaro dias,1
dilma temer governo demarcou menos terras agricultura,2
ciro gomes diz estado ceara cobra oito porcento sobre herancas enquanto sao paulo cobra quatro porcento,2
agricultura familiar representa oitenta porcento comida mesa cidadaos,2
pronaf nunca recebeu tantos recursos governo pt,1
pesquisa aponta bolsonaro nao vencera primeiro turno,1
brasil cada cem alunos cinquenta nove abandonam ensino medio,1
estado sao paulo tem menor evasao escolar entre estados brasil,1
sao paulo nao aumentou imposto icms durante governo fernando haddad pt,1
estado sao paulo registra superavit ano passado chegando mais cinco bilhoes,2
poucos paises tem inflation target meta inflacao definida anualmente ,1
inflacao chega três porcento mes,1
reforma trabalhista tem promessa superar desemprego novecentos oitenta mil brasil,1
pais crescendo desemprego chegando proximo três porcento periodo ano passado,2
assinado indulto lula nomeia chefe casa civil,1
pt surgiu periodo ditadura militar durante governo fhc,2
rachel dodge argumenta contra voto impresso eleicoes,2
roubos veiculos aumnetou quarenta quatro porcento,2
homicidios reduzidos sessenta porcento periodo dois mil doze,1
bolsa familia sera cortado caso temer assuma presidencia pais,1
gasolina diesel aumentaram durante governo temer,2
candidatura ciro gomes pdt vetada ficha limpa,2
alvaro dias podemos senador mais bem votado brasil,2
reeleicao dilma rousseff nao caminha bem,1
afastamento renato duque teria suspeita envolvimento esquema propina,1
metas cento vinte três pontos cumpridas,2
entreguei prefeitura sp caixa cinco bilhoes,2
foto gleisi hoffmann encontrada celular adelio bispo revela ligacao dois,1
apos dois anos governo bolsonaro brasil volta mapa fome,1
brasil consegue subir vinte milhoes empregos doze anos governo pt,2
sera duplicado vagas publicas universidades federais proposta governo pt,2
mais vinte porcento professores educacao basica nao possuem licenciatura,1
oito porcento pessoas nao estudavam trabalhavam ano dois mil dezessete,2
catorze porcento jovens ate vinte nove anos nao completou ensino medio governo jair bolsonaro,2
creches concentra atualmente criancas zero três anos vinte porcento capacidade,2
maioria estudantes ensino medio nao atinge niveis proficiencia,2
homem atacou bolsonaro identificado fotos,1
dez milhoes empregos foram criados brasil ultimos oito anos,2
fortuna meirelles chega quase quatrocentos milhoes segundo proprio delcarou tse,2
taxa juros cartao credito dois mil dezesseis chegou quinhentos trinta dois porcento,1
portugal banco central define taxa juros dezesseis porcento ano,2
ultimos dez anos ceara dobrou numero homicidios,2
escolas ensino medio ceara oferecem estagio remunerado,1
ocupando mesma posicao mesmas funcoes homens mulheres devem ganhar iguais,2
vigésimo estado mais perigoso pais destaca debate geraldo alckmin psdb,2
pais registra quinta morte contra mulheres,2
mulheres negras sao agredidas protestos contra marina silva rede,2
presidios sao paulo noventa mil presos,1
brasil chega marca trinta três mil assassinatos jovens ano,2
brasil tem mulher pela primeira vez historia presidente republica,2
geraldo alckmin cria programa beneficia mulheres,2
governo temer diminui liberacao bolsa familia,1
lula decidi ser candidato mesmo registro negado pt,2
henrique meirelles tem varios processos,1
dois mil dois brasileiros sofre grave crise economica alta inflacao,2
impeachment dilma fo pedido alvaro dias podemos,2
temer alvaro dias sao cassados,2
ciro gomes diz divida media cidadaos brasileiros chega quatro mil spc,2
pf descobre esquema planejou assassinato jair bolsonaro durante campanha eleicoes,1
ministro educacao apoia candidatura michel temer,2
ministerio saude tres ministerios caem diz michel temer video divulgado,2
ministro industria comercio marcos pereira apoia candidatura geraldo alckmin,2
geraldo alckmin voltou dizer psdb ajudou durante governo michel temer,2
jose serra nomeado ministerio relacoes exteriores presidente michel temer,2
psdb tem marior numero representante dentro palacio planalto,2
brasil criou neste ano mais quatrocentos quarenta oito mil vagas carteiras assinadas,2
capital investimento infraestrutura muito baixo comparado india quarenta porcento menos,1
investimento nacional chega dois mil treze vinte porcento pib seguida apresentou quedas constantes,2
populacao pobre chega atualmente treze milhoes pessoas segundo pesquisa ibge pior situacao ultimos dez anos,2
governo jk producao industrial cresceu media dez porcento ano,2
criticas ministerio meio ambiente demora liberacao licenciamento,1
candidata marina silva fala operacao lava jato,1
partir dois mil dez defendo regime capitalizacao,2
estudo mostra mais oitenta porcento atividades domesticas realizadas mulheres,2
apos temer assumir presidencia deficit publico aumentou cinco porcento,1
mais vinte cinco mil homicidios pais atla cinco porcento mesmo periodo ano passado,1
populacao abaixo linha pobreza maioria sao mulheres filhos catorze anos,1
producao agriculta agropecuaria crescimento vinte dois porcento ano media ultimos dez anos,2
movimento lgbt cento oitenta escolas ensinando heteronormatividade relacao homem mulher ta errado,1
seminario lgbt infantil discutiu lancamento material combater homofobia kit gay,1
governo fala empregaria mulheres salario menor homens,1
unico parlamentar votar contra pec domesticas ambos turnos,1
candidato explicita programa governo correcao carga tributaria nacional,1
um terco escolas ensino medio ceara tempo integral,1
lava jato nao tem nenhum politico preso partido psdb,2
fui governador mais popular brasil estado ceara,2
brasil caiu dezessete posicoes ultimos oito anos,1
brasil gerou milhao empregos direto indiretamente em dois mil dezessete,1
setecentos noventa cinco mil empregos foram criados partir biocombustiveis,2
atualmente brasil possui maior ranking mundial transtornos ansiedade aponta pesquisa,2
familias recebiam bolsa familia governo irregular dois mil dezessete deixaram receber beneficio,1
cotas contribui aumento duzentos sessenta seis porcento estudantes negros universidades brasileiras,1
matriculas nivel superior passaram dois milhoes dois mil oito,2
populacao brasil tem vinte dois porcento planos saude privados,2
ano dois mil dezesseis mortes violentas brasil eram dois porcento relacionadas acoes policiais,1
dois mil dezesseis custo total uniao dezoito empresas dependentes governo federal,1
brasil tera deficit primario cento vinte nove bilhoes previsao dois mil dezenove,2
dois mil dezenove valor renuncias tributarias somam mais trezentos três bilhoes,2
camara sao paulo nao possui projeto aprovado ultimos anos,1
lula diz ter orgulho unico presidente conseguir pagar fmi,2
gasto ensino superior chega terco gasto ensino basico governo jair bolsonaro,2
alta porcentagem alunos termina ensino basico nao sabe interpretar texto nao sabem fazer operacoes simples matematica,2
brasil investe apenas seis porcento pib educacao governo bolsonaro,2
governo propoe aprimoramento programa bolsa familia meta garantir cada brasileiro aumente renda atual,1
economia cresceu durante governo pt media quinte porcento ano,1
nuermos apontam governo pt gerou mais vinte milhoes empregos carteira assinada,2
salario minimo reajustado abaixo inflacao,2
pesquisa aponta mulheres sao maioria cursos posgraduacao,2
forte explosao eua causam varias mortes pais,1
michel temer aprova reforma previdencia idade minima sessenta cinco homens sessenta mulhres,1
proposta reforma previdencia tera sessenta cinco anos idade minima aposentadoria inclusive policial militar,1
parlamentar solta fala mulheres deveriam ganhar menos homens porque engravidam,1
brasil tem mais cinquenta porcento territorio indigena quilombola protecao ambiental,1
seis porcento pib brasil investido educacao,2
venezuela tem denuncia ditadura feita itamaraty todos jornais,2
metade efetivo onze mil policiais federais fica carimbando papel atualmente,1
salario minimo durante governo lula subiu setenta seis poder compra brasileiros,1
mais noventa três porcento trabalhadores carteira assinada nao sao contribuem sindicato,2
gastos deste ano gabinete superou cota passagem onibus empresas,1
deputado relata morar apartamento proprio nao uso auxiliomoradia direito,2
joel malucelli empresa estao sendo investigados corrupcao,2
portugueses exploraram continente africano durante epoca escravidao brasil,1
candidato relata nunca disse seria vice aecio eleicoes,1
eua tem diminuicao carga tributaria governo trump,2
ciro gomes citado debate parlamentar oito anos nao apresentou nenhum projeto,2
alberto youssef faz delacao premiada citando tres deputados federais,2
dinheiro petrobras destinado ana amelia jair bolsonaro paulo maluf falou alberto youssef delacao premiada,2
imposto heranca brasil chega mais oito porcento,2
donos carro pagou ipva comeco ano desconto,2
tabela sus nao corrigida ha mais dez anos,1
educacao basica tem apenas trinta porcento orcamento educacao nacional,2
geraldo alckmin perde pesquisa sao paulo,1
cassar mandato deputado federal partidos mesmos parlamentares,2
brasil mais trinta porcento maes solteiras chefe familia,2
emenda constitucional relativiza propriedade privada,1
riqueza brasileira origem industria onze porcento em mil novecentos oitenta ,1
mais sessenta três milhoes brasileiros estao hoje nomes sujos spc serasa,2
trinta dois milhoes brasileiros homens mulheres ganham pao informalidade,2
condenacao provas sentenca envia prisao atos indeterminados,1
economia paraguai vem crescendo mais seis porcento ano,1
pesquisa mostra mais setenta porcento jovens nao sabem regra tres simples,2
recentemente nenhuma empresa criada socio pais,1
mais catorze milhoes cirurgias eletivas foram realizadas brasil ano,1
sessenta mil homicidios foram registrados brasil ultimos doze meses,2
brasil tem menor porcentagem criancas creches quatro anos,2
cinquenta porcento mulheres maes filho ate um ano nao trabalham,2
maes filho nao consegue voltar mercado trabalho,2
brasil aumentou icms alcool vinte cinco porcento,1
icms alcool sao paulo tem menor imposto estados brasileiros,2
assassinatos ano passado três mil quinhentos cada cem mil habitantes,2
brasil registrou mais treze mil assassinatos ano passado,2
estados brasileiros possuem efetivo policia menor necessario,2
aposentadoria homem constituicao atual carteira assinada menor renda grande maioria,2
minoria populacao nao consegue completar trinta cinco anos contribuicao carteira assinada,2
petrobras opera setenta porcento capacidade refinarias pais,2
brasil segue logica colonial exportar petroleo cru importar derivado petrobras,1
programa governo quer combater fake news,1
fundo monetario internacional adotam politica teto controle gastos publicos,2
sessenta três porcento populacao brasileira nao respeito venda armas,2
industria brasileira representa vinte sete porcento empregos diretos,1
brasil registra mais sessenta mil homicidios ano media ultimos cinco anos,2
doze milhoes brasileiros buscam emprego atualmente,1
candidato teve mais dezenove milhoes votos dois mil catorze,2
dois mil dez firmamos compromisso crescer cinco porcento pib bruto nacional,2
atualmente cada oito pessoas trabalhando dois aposentados,1
progressao mostra teremos pouco tempo duas pessoas trabalhando oito aposentados,1
protecao foro privilegiado estao impedindo condenacao,2
controle gasto publico dois mil dez metade pib nacional,2
reforma previdencia temer tentou fazer idade minima quarenta nove anos media idade contribuicao,1
pessoa quarenta nove anos podera aposentar apos vinte cinco anos contribuindo,1
processo eleitoral reunem membros pt,1
bolsonaro encontro trump exibe camiseta nba,1
paulo roberto duarte votou dezessete bolsonaro,1
bolsonaro retirou horario verao sendo assim todos estados nenhum tera horario verao este ano,1
sem horario verao todos votos serao computados antes nove hrs,1
haddad chamado ladrao carnaval salvador,1
datafolha divulgou pesquisa mostrando haddad segundo bolsonaro primeiro,1
horario eleitoral sera reduzido autoriza viviane senna,1
veja destaca capa pt fez mais jair bolsonaro durante governo anterior,1
jornalista globo patricia campos mello mostra detalhes vida bolsonaro,1
quarenta nove brigada militar apreendeu quatro urnas eletronicas suspeita terem sido violadas,1
ultimas três urnas eletronicas tem votacao computada faltando menos oitenta porcento apuracao total,1
haddad declara apoio maduro,1
advogados adelio bispo posam lado haddad evento,1
vinte outubro bolsonaro fez declaracao dizendo adversarios coruptos irao cadeia,2
patrimonio total bolsonaro declarado tse,2
bolsonaro faz declaracao repercutiu nordestinos deveriam comer capim artistas manifestaram contra,1
candidato fernando haddad pt ameacado extremadireita diz especialista politica,2
fernando haddad pt tem apoio ministros fhc eleicoes brasil,2
praticamente duplicamos numero universidades brasil ministro educacao,1
governo temer aumenta cinquenta porcento preco gas cozinha desde ano passado,1
programa mais medicos aumenta atendimento todo territorio brasileiro,2
fernando haddad pt atingi vinte nove porcento votos foram mais trinta milhoes votos,2
isencao imposto renda ganha cinco salarios minimos,2
governo preve proposta defendida janeiro dois mil dezoito isencao imposto renda ganha ate cinco salarios minimos,2
psdb indica quatro ministros governo temer remanescente pt,2
fernando haddad pt aprova teto gastos sao paulo,2
marina silva participa movimento impeachment dilma rousseff programa tv,2
bispos catolicos manifestaram contra reforma trabalhista,2
aplicado medida teto gastos fernando haddad pt sao paulo,1
cinco bancos publicos concentram oitenta porcento riqueza nacional,2
populacao elegeu lula primeiro turno tambem elegerar primeiro turno fernando haddad pt,1
reforma partidaria este ano funcao fim clausula barreira gastos,1
mandato limitado suprema corte passa doze treze anos alguns paises,2
lula aumentou mais trinta dois porcento carga tributaria relacao fhc,2
em dois mil dezesseis psdb pmdb sao maioria cidade santos,1
eleicoes dois mil dezesseis pt tem maioria relativamente psdb pp pmdb,1
pt dois mil dezesseis obteve mais sessenta porcento votos regiao nordeste,2
ancora cambial provocou rombo contas externas durante governo fernando haddad pt,2
mais oitenta porcento escolas sao faixa etaria quatro cinco anos idade,2
mais quarenta cinco porcento eleitores votariam lula segundo turno segundo pesquisa ibope,1
piaui alcanca segundo ranking eficiencia gastos seguranca publica,2
haddad obteve mais nove mil novecentos nove votos unica secao,1
custo hidreletrica tumarin nicaragua bancada bndes chega mais bilhao orcamento superior estabelicido planejamento,1
jatos citation sovereign luxuosos fretados atender candidatos fernando haddad enquanto pobres passam fome,2
haddad lanca livro defende pais filhos,1
eleitor bolsonaro xinga haddad missa igreja,1
jose sergio gabrielli teve reportagem divulgada folha spaulo,1
urnas eletronicas tem voto seguro mais oitenta porcento,1
candidato saca cheque sessenta oito milhoes bahia,1
pt nao partido aparelharam poderes pais organizacao criminosa descoberta ,2
hospital tem cama regulagem altura reformadas haddad sao paulo,1
haddad lanca coligacao planejamento gastos quinhentos milhoes,1
apenas dois canditados nao usam fundo partidario coligacao bolsonaro,2
brasil nunca diminiu durante vinte poucos anos carga tributaria diz jair bolsonaro relacao inglaterra,1
camara ceara declarou titulo cidadao cearense fernando haddad pt ,2
presidenta dilma faz foto fidel cuba evento pais,1
brasil tem mais vinte dois hidreletricas construidas durante regime militar ditatorial,1
governo vai exercer controle midia social diz haddad,1
plano governo fernando haddad pt proposta transformar empresas nacionais estatais,1
pt tentou censurar campanha internet durante marco civil,1
programa mais medicos sao medicos cubanos sao comparados brasil,1
dois mil cinco povo decidiu sobre direito armas municoes casa,2
jair bolsonaro quer reducao maioridade penal destaca jornal,2
sistema eleitoral brasileiro nao existe nenhum outro lugar mundo,1
vaza audio bolsonaro dizendo mulher ganhar menos homem,1
brasil vota favor referendo desarmamento,1
presidente bolsonaro aprovou proposta cortar décimo terceiro,1
numero universitarios brasil foram triplicados diz fernando haddad governo pt,1
 nenhum lugar mundo aplica medida teto gastos igual pt,1
mourao propoe confisco conta poupanca brasil,1
fernando haddad nao conseguiu passar segundo turno eleicoes,2
palocci diz campanha dilma rousseff gastou mais bilhao eleicoes,2
jair bolsonaro psl nao faz coligacao nenhum partido,1
passagem falsa encontrada adelio bispo oliveira,1
adelio bispo oliveira agressor bolsonaro encontrado dia seis setembro,1
durante governo pt foram criadas mais cinquenta empresas estatais,2
jair bolsonaro psl promete criar ate trembala ,2
cpmf fernando henrique cardoso criada deputado bolsonaro,2
jose dirceu declarou quando ganhar eleicao assumir poder junto jair bolsonaro,2
depois completar seis anos idade crianca propriedade estado cabe aos pais acatar decisao respeitosamente,1
estado tera direito decidir menino sera menina viceversa aos pais cabe acatar decisao melhor lei criada criancas fernando haddad pt,1
onu apresenta pleito lula destcando fragilidade acusacao contra pt,1
mais cinco bancos publicos concentram maior porcentagem credito brasil diz,2
tasso jereissati falou foram cometidos tres erros resultado eleitoral nao prejudicar governo temer,2
questionamos resultado eleitoral foram aprovados pauta pt embarcamos governo temer prejudicar ,2
jovem esfaqueia bolsonaro descoberto video provar facada acaba falsa identificacao,1
eleicoes dois mil dezesseis pt brilhou contra outros partidos represadas fernando haddad pt,1
resultado eleicoes presidenciais dois mil catorze teve resultado contestacao partidos adversarios,1
ancora cambial fhc provocou estourar contas monumental fernando haddad provocando deficit entre outros paises,2
homem esfaqueou bolsonaro tem ligacao jose adelio bispo oliveira relacionado pdt mineiro,1
foto mostra candidato entrando hospital sofre tentativa homicidio dentro hospital,1
adelio bispo oliveira tentou matar jair bolsonaro cidade juiz fora adelio ligado partido trabalhadores,1
criminoso tentou assessora campanha dilma coligado senado minas,1
exercito brasileiro acaba perdendo tres jovens garotos crime organizado bolsonaro,2
brasil nao conseguiu produzir forma competitiva contra paraguai aumento crescimento industria governo bolsonaro psl,1
datafolha errou pesquisa ultimas eleicoes cinquenta porcento votos menos jair bolsonaro,1
presidente banco central henrique meirelles oito anos jbs friboi conhece bolsonaro,2
governos pt lancam curso tecnico ensino medio entrevista radio jovem pan bolsonaro critica,1
cento vinte seis universidades federais foram criadas cidades brasil durante governo pt diz fernando haddad entrevista tv,1
crianca nove anos idade obrigada tomar tabuada nao sabe cinquenta porcento provas programa avaliacao estudantes jair bolsonaro,1
setenta porcento criancas tem dificuldade tabuadas aponta pesquisa programa governo aprendizagem internacional estudantes passa projeto,1
pesquisas feita tse parana jair bolsonaro aparece frente todos estados mensagem circula whatsapp povo quer renovacao,1
jair bolsonaro diz entrevista sbt policial nao precisa esperar bandido reagir,1
mais vinte dois processos justica contra candidato pt fernando tramitando foro privilegiado sobre presidente pt circula rede nacional,1
fernando haddad pt tem vinte dois processos justica sao paulo contra candidato pt tramitando publica corrente sobre presidenciavel,1
btg saiu mercado financeiro cinquenta dois porcento menos xp quarenta porcento corrente sobre disputa ganha mais mercado,1
mercado financeiro caiu cinquenta dois porcento governo bolsonaro votos validos corrente sobre disputa presidencial noticias quarenta dois porcento menos,1
maluf esta sao paulo ganhando duas eleicoes quarenta porcento votos primeiro turno pesquisa aponta fernando haddad segundo ganhar bolsonaro,1
fernando haddad ganhou sao paulo duas eleicoes quarenta cinco porcento votos primeiro turno mesmo não aconteceu segundo turno eleicoes,1
atualmente brasil tem classificacao superior governo fernando henrique cardoso sendo inferior economicamente,2
brasil vem priorizando comercio mercosul governo jair bolsonaro vies ideologico nao compativel governo pt,1
comercio brasileiro prioriza vies ideologico mercosul jair bolsonaro,1
ibge apresenta numero nao procura emprego tido empregado quem ano passado trabalhou dois tres dias recebe auxilio desemprego constante realidade brasil governo atual,1
questao metodologia numero desempregados ano passado passou numero trabalhou dois tres dias tido empregado procurar empregado passou ser rotina brasileiro jair bolsonaro psl,1
estimular relacao sexual espanto esta leitura agradavel ministro educacao haddad responsavel ministerio distribuiu escolas criancinhas livro pai castiga filha ,1
relacao sexual pai filha espanto disponibilizada governo distribuiu escolas criancas receberam livro nao querer ser voce pensa ja visto tudo enganase distribuicao governo feita escolas brasil,1
fernando haddad julgado lei improbidade juiza prejuizo muito alto construcao civil rendendo lucro pt,2
haddad rel acusado roubo caixa dois esquema empreiteiras construcao civil,2
fernando haddad teve processo improbidade investigado acusado desvio trinta milhoes camara municipal,2
haddad provocou mais trezentos trinta mil cidadaos sem atendimento medico sao paulo,1
prefeitura sao paulo ficou registrado pior prefeito fernando haddad teve pior avaliacao historia,2
fernando haddad investigado por maior rombo mais sete bilhoes rombo prefeitura sao paulo,1
ministro educacao estima atualmente setenta porcento estudantes tem baixo nivel aprendizagem portugues matematica,1
bolsonaro contratou esposa trabalhar gabinete presidencia forma ilegal,1
bolsonaro aumentou salario michelle esposa cargo gabinete presidencia,2
funcionaria fantasma contratada bolsonaro gabinete angra reis,2
patrimonio pessoal bolsonaro ocultado justica eleitoral durante eleicoes,2
bolsonaro acusado ter sonegado impostos receita federal,1
bolsonaro teve enriquecimento ilicito atraves maquina publica investigado pf,1
bolsonaro sendo investigado suspeita lavagem dinheiro noticia divulgada imprensa,1
envolvido caixa dois campanha eleicoes dois mil dezesseis bolsonaro,1
